image_name,class_id,x_center,y_center,width,height,confidence
fk_37,0,0.698828,0.239583,0.0132813,0.0208333,0.402467
fk_39,0,0.701172,0.223611,0.0132813,0.0222222,0.520331
fk_40,0,0.701172,0.21875,0.0132813,0.0208333,0.495926
fk_41,0,0.700781,0.214583,0.0125,0.0208333,0.541219
fk_44,0,0.698828,0.207639,0.0132813,0.0208333,0.453816
fk_45,0,0.696875,0.207639,0.0140625,0.0236111,0.477559
fk_46,0,0.694922,0.209028,0.0132813,0.0208333,0.521473
fk_47,0,0.693359,0.211111,0.0132813,0.0222222,0.461581
fk_48,0,0.690234,0.215972,0.0117188,0.0208333,0.547329
fk_49,0,0.688281,0.220139,0.0125,0.0208333,0.613962
fk_50,0,0.685938,0.224306,0.0125,0.0208333,0.606537
fk_51,0,0.683203,0.229861,0.0132813,0.0208333,0.470027
fk_52,0,0.680078,0.238889,0.0132813,0.0222222,0.435741
fk_53,0,0.676953,0.246528,0.0117188,0.0208333,0.60071
fk_54,0,0.674219,0.253472,0.0125,0.0208333,0.466838
fk_55,0,0.670703,0.265972,0.0132813,0.0208333,0.418027
fk_57,0,0.664062,0.285417,0.0125,0.0208333,0.606057
fk_58,0,0.660547,0.295139,0.0132813,0.0208333,0.41634
fk_59,0,0.657422,0.309028,0.0132813,0.0208333,0.437002
fk_60,0,0.652344,0.322222,0.0125,0.0194444,0.503543
fk_61,0,0.648438,0.335417,0.0125,0.0208333,0.574933
fk_62,0,0.644922,0.348611,0.0132813,0.0222222,0.428361
fk_63,0,0.640234,0.364583,0.0117188,0.0208333,0.469726
fk_64,0,0.635547,0.378472,0.0132813,0.0208333,0.451166
fk_66,0,0.626953,0.411111,0.0117188,0.0194444,0.52128
